City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
292,Kyra,RU,2020-08-25 06:32:06,49.58,111.98,67.28,52,79,4.97
293,Quatre Cocos,MU,2020-08-25 06:32:06,-20.21,57.76,75.99,64,75,14.99
294,Salamiyah,SY,2020-08-25 06:32:06,35.01,37.05,86.74,25,0,3.89
295,Sandwick,GB,2020-08-25 06:32:06,60.0,-1.25,46.4,93,75,1.12
296,Hvide Sande,DK,2020-08-25 06:32:06,56.0,8.13,57.99,81,20,4.7
297,Karratha,AU,2020-08-25 06:32:02,-20.74,116.85,89.74,24,0,11.45
298,Bundaberg,AU,2020-08-25 06:31:10,-24.85,152.35,71.01,35,0,12.75
299,Kieta,PG,2020-08-25 06:32:07,-6.22,155.63,82.54,72,7,2.01
300,Gundlupet,IN,2020-08-25 06:32:07,11.8,76.68,84.2,51,20,8.05
301,Saint-Francois,FR,2020-08-25 06:32:07,46.42,3.91,55.99,93,68,3.36
302,Faanui,PF,2020-08-25 06:32:07,-16.48,-151.75,77.05,83,77,20.87
303,Kandrian,PG,2020-08-25 06:32:07,-6.22,149.55,79.63,85,65,7.65
