City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Taos,US,86.0,broken clouds,36.41,-105.57,El Monte Sagrado
308,Bubaque,GW,80.87,moderate rain,11.28,-15.83,Casa Dora
310,Hayden,US,82.0,clear sky,47.77,-116.79,Triple Play Resort Hotel & Suites
312,Gizo,SB,81.14,overcast clouds,-8.1,156.84,Imagination Island
315,Nouadhibou,MR,80.6,clear sky,20.93,-17.03,El Medina
316,Naze,JP,78.8,clear sky,28.37,129.48,奄美ポートタワーホテル
319,Pekan,MY,78.8,few clouds,3.48,103.4,Pekan Budget Hotel
321,Catamarca,AR,82.99,clear sky,-28.47,-65.79,Amerian Catamarca Park Hotel
325,Sabang,ID,83.35,overcast clouds,5.89,95.32,Hotel Citra
326,Mahibadhoo,MV,83.53,overcast clouds,3.78,72.97,Omadhoo Inn
327,Hambantota,LK,79.9,overcast clouds,6.12,81.12,Bungalow 63
333,Tabou,CI,76.14,scattered clouds,4.42,-7.35,hotêl doufoulougou
335,Grand-Santi,GF,86.09,overcast clouds,4.25,-54.38,Hotel La Villa Couacou
338,Cayenne,GF,80.6,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
342,Pimenteiras,BR,86.5,broken clouds,-6.25,-41.42,Hotel Central
344,Tarakan,ID,79.59,broken clouds,3.3,117.63,Hotel D' CaLia Tarakan
345,Basti,IN,78.67,broken clouds,26.8,82.72,SPOT ON 43231 Hotel Aura Inn SPOT
347,Tautira,PF,80.6,few clouds,-17.73,-149.15,Pension Oaoa
351,Dingle,PH,75.52,overcast clouds,11.0,122.67,Camp Pasica
353,Makhachkala,RU,77.0,broken clouds,42.98,47.5,Argo
355,Aswan,EG,84.83,clear sky,24.09,32.91,Nuba Nile
361,Tahta,EG,89.6,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
362,Alofi,NU,77.0,broken clouds,-19.06,-169.92,Taloa Heights
367,Bathsheba,BB,86.0,scattered clouds,13.22,-59.52,Atlantis Hotel
370,Vicksburg,US,89.6,clear sky,32.35,-90.88,La Quinta Inn & Suites by Wyndham Vicksburg
371,Susanville,US,90.0,clear sky,40.42,-120.65,Red Lion Inn & Suites Susanville
374,Pochutla,MX,75.2,overcast clouds,15.74,-96.47,Hotel Posada San Jose
378,Fallon,US,90.0,scattered clouds,39.47,-118.78,Best Western Fallon Inn & Suites
383,Hamilton,US,82.99,moderate rain,39.18,-84.53,Six Acres Bed & Breakfast
385,Det Udom,TH,77.0,scattered clouds,14.91,105.08,Chatsuda Resort
393,Nicosia,CY,80.01,few clouds,35.17,33.37,The Landmark Nicosia
402,Missoula,US,82.0,clear sky,47.02,-113.8,Gold Creek Cabin
414,Planaltina,BR,82.4,broken clouds,-15.45,-47.61,Retiro Maranata
415,Talara,PE,75.2,clear sky,-4.58,-81.27,Hostal Oro Negro
416,Nhulunbuy,AU,75.2,broken clouds,-12.23,136.77,East Arnhem Real Estate
426,Nara,JP,78.8,few clouds,34.69,135.8,Guesthouse Nara Komachi
427,Bonthe,SL,77.0,light rain,7.53,-12.51,Bonthe Holiday Village
431,Pasighat,IN,75.2,broken clouds,28.07,95.33,Siang Guest House
434,Kavieng,PG,80.96,overcast clouds,-2.57,150.8,Nusa Island Retreat
435,Nichinan,JP,78.01,few clouds,31.6,131.37,Guest House Aki
439,Ozu,JP,79.0,clear sky,33.5,132.55,HOTEL FOREST
441,Kerema,PG,76.06,overcast clouds,-7.96,145.78,Elore Lodge
442,Fukuma,JP,80.6,clear sky,33.77,130.47,Masago
443,Aguimes,ES,79.0,clear sky,27.91,-15.45,Hotel Villa de Aguimes
444,Bodden Town,KY,89.6,few clouds,19.28,-81.25,Will T Place
449,Okrika,NG,75.2,light intensity drizzle,4.74,7.08,LiSi hotel
450,Zhob,PK,76.5,clear sky,31.34,69.45,ROOM # 105 DUBAI HOTEL ZHOB
451,Kushima,JP,78.01,few clouds,31.46,131.23,Hanaoka
460,Lunas,PH,80.6,few clouds,10.64,123.75,T R D
461,Altamira,BR,86.0,few clouds,-3.2,-52.21,Requinte Hotel
464,Hakodate,JP,76.44,few clouds,41.78,140.74,Yunokawa Prince Hotel Nagisatei
465,Sao Jose Da Coroa Grande,BR,75.34,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
469,Port-Gentil,GA,77.0,overcast clouds,-0.72,8.78,Fengshui Residence
472,Mazagao,BR,89.6,few clouds,-0.12,-51.29,Casa Lima Santos
