City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
287,San Cristobal,VE,7.77,-72.22,89.6,59,40,12.75,scattered clouds
288,Talnakh,RU,69.49,88.4,51.8,81,29,4.47,scattered clouds
289,Luebo,CD,-5.35,21.42,76.15,69,0,1.77,clear sky
290,Saint-Pierre,RE,-21.34,55.48,69.8,73,75,5.82,broken clouds
291,Campbell River,CA,50.02,-125.24,68.0,64,75,4.7,broken clouds
292,Tole,UA,44.72,33.82,65.66,55,3,4.72,clear sky
293,Santa Vitoria Do Palmar,BR,-33.52,-53.37,59.38,94,65,5.59,broken clouds
294,Fort Nelson,CA,58.81,-122.7,53.6,87,90,2.24,light rain
295,Beecher,US,43.09,-83.69,81.0,74,75,9.17,broken clouds
296,Nome,US,64.5,-165.41,55.99,76,90,4.7,overcast clouds
297,Port Macquarie,AU,-31.43,152.92,45.0,84,0,6.62,clear sky
298,Mitsamiouli,KM,-11.38,43.28,75.61,80,23,6.51,few clouds
299,Salinopolis,BR,-0.61,-47.36,81.05,81,81,12.97,broken clouds
300,Lompoc,US,34.64,-120.46,70.0,68,1,12.75,clear sky
301,Noboribetsu,JP,42.45,141.17,75.99,100,90,5.82,heavy intensity drizzle
302,Pa Sang,TH,18.53,98.94,78.8,94,75,6.93,broken clouds
303,Marienburg,PL,54.04,19.03,61.0,87,100,10.29,overcast clouds
304,Husavik,IS,66.04,-17.34,51.8,76,90,9.17,overcast clouds
305,Haifa,IL,32.82,34.99,75.99,85,0,8.75,clear sky
306,Sept-Iles,CA,50.2,-66.38,62.01,51,75,14.99,broken clouds
307,Taos,US,36.41,-105.57,86.0,22,75,24.16,broken clouds
308,Bubaque,GW,11.28,-15.83,80.87,79,100,16.69,moderate rain
309,Ostrovnoy,RU,68.05,39.51,49.05,64,49,9.6,scattered clouds
310,Hayden,US,47.77,-116.79,82.0,22,1,5.82,clear sky
311,Kosikha,RU,53.36,84.58,53.6,87,0,6.71,clear sky
312,Gizo,SB,-8.1,156.84,81.14,75,98,4.74,overcast clouds
313,Alice Springs,AU,-23.7,133.88,42.8,33,0,4.7,clear sky
314,Mayya,RU,61.73,130.28,37.4,73,99,2.24,overcast clouds
315,Nouadhibou,MR,20.93,-17.03,80.6,83,0,11.41,clear sky
316,Naze,JP,28.37,129.48,78.8,100,8,3.36,clear sky
317,Fairbanks,US,64.84,-147.72,53.01,93,90,5.82,overcast clouds
318,Namibe,AO,-15.2,12.15,59.76,82,100,9.01,overcast clouds
319,Pekan,MY,3.48,103.4,78.8,88,20,4.16,few clouds
320,Khash,IR,28.22,61.22,66.79,26,75,2.06,broken clouds
321,Catamarca,AR,-28.47,-65.79,82.99,27,1,1.99,clear sky
322,Rio Maior,PT,39.34,-8.94,66.99,99,24,13.0,few clouds
323,Bulungu,CD,-4.55,18.6,77.9,62,77,2.64,broken clouds
324,Lugovoy,KZ,42.95,72.76,61.25,41,0,3.44,clear sky
325,Sabang,ID,5.89,95.32,83.35,73,100,6.82,overcast clouds
326,Mahibadhoo,MV,3.78,72.97,83.53,70,100,10.07,overcast clouds
327,Hambantota,LK,6.12,81.12,79.9,78,100,15.77,overcast clouds
328,Zhangjiakou,CN,40.81,114.88,64.06,80,0,2.42,clear sky
329,Asfi,MA,32.3,-9.24,70.32,89,8,16.64,clear sky
330,Preobrazheniye,RU,42.9,133.91,72.63,94,79,1.88,broken clouds
331,Bumba,CD,2.18,22.47,71.71,95,36,2.82,scattered clouds
332,Kukuna,SL,9.4,-12.67,73.42,97,100,5.59,moderate rain
333,Tabou,CI,4.42,-7.35,76.14,86,25,8.63,scattered clouds
334,Yuksekova,TR,37.57,44.29,62.6,59,1,4.7,clear sky
335,Grand-Santi,GF,4.25,-54.38,86.09,63,98,1.59,overcast clouds
336,Storforshei,NO,66.4,14.52,46.0,87,40,3.36,scattered clouds
337,Batagay-Alyta,RU,67.8,130.41,42.71,64,69,0.29,broken clouds
338,Cayenne,GF,4.93,-52.33,80.6,88,90,3.36,overcast clouds
339,Luderitz,NA,-26.65,15.16,55.96,79,0,5.59,clear sky
340,Gogrial,SS,8.53,28.1,73.31,90,82,3.11,broken clouds
341,Klaksvik,FO,62.23,-6.59,46.4,87,91,8.05,drizzle
342,Pimenteiras,BR,-6.25,-41.42,86.5,26,51,2.59,broken clouds
343,Susehri,TR,40.16,38.09,59.45,65,0,2.08,clear sky
344,Tarakan,ID,3.3,117.63,79.59,80,74,4.54,broken clouds
345,Basti,IN,26.8,82.72,78.67,87,51,11.3,broken clouds
346,Vestmannaeyjar,IS,63.44,-20.27,52.38,85,95,18.48,overcast clouds
347,Tautira,PF,-17.73,-149.15,80.6,61,20,6.93,few clouds
348,Tura,IN,25.52,90.22,73.18,97,5,4.41,clear sky
349,Avera,US,33.19,-82.53,89.6,66,75,8.05,broken clouds
350,Monroe,US,43.15,-77.68,73.0,64,75,8.05,broken clouds
